GOLES — Torneo Federal A 2026,,,,,,,
N° Partido,Fecha,Equipo Local,Equipo Visitante,Equipo que convierte,Jugador,Tiempo,Minuto
29,2,Cipolletti,San Martín (Mdza),Cipolletti,Federico Acevedo,1T,23
29,2,Cipolletti,San Martín (Mdza),Cipolletti,Martín Peralta,1T,46
29,2,Cipolletti,San Martín (Mdza),Cipolletti,Andrés Almirón,2T,21
31,2,Santamarina,Sol de Mayo,Sol de Mayo, Ignacio Lucero (e/c),1T,34
31,2,Santamarina,Sol de Mayo,Sol de Mayo,Santiago Jara,1T,44
33,2,Alvarado,Gmo. Brown,Alvarado,Facundo Centurion,1T,4
33,2,Alvarado,Gmo. Brown,Alvarado,Tomas Fernández,1T,25
34,2,Villa Mitre,Círculo Dep.,Villa Mitre,Pablo Mujica,2T,7
34,2,Villa Mitre,Círculo Dep.,Villa Mitre,Marcos Escobar,2T,42
35,3,Independiente (Chi),Gimn. Chivilcoy,Independiente (Chi),Leonel Retamozo,1T,20
35,3,Independiente (Chi),Gimn. Chivilcoy,Independiente (Chi),Tenca Hernández,1T,35
35,3,Independiente (Chi),Gimn. Chivilcoy,Independiente (Chi),Tenca Hernández,2T,15
36,3,El Linqueño,Escobar FC,El Linqueño,Nicolás Córdoba,1T,15
36,3,El Linqueño,Escobar FC,Escobar FC,Nahuel Luna,1T,44
36,3,El Linqueño,Escobar FC,El Linqueño,Lautaro Núñez,2T,15
37,3,Sp. Las Parejas,9 de Julio (R),Sp. Las Parejas,Leonardo Rolón,2T,8
37,3,Sp. Las Parejas,9 de Julio (R),9 de Julio (R),Leandro Larrea,2T,31
38,3,Douglas Haig,Def. Villa Ramallo,Douglas Haig,Guillermo Pereira,1T,9
38,3,Douglas Haig,Def. Villa Ramallo,Def. Villa Ramallo,Enzo Luna,1T,22
38,3,Douglas Haig,Def. Villa Ramallo,Douglas Haig,Jonatan Palacio,2T,2
38,3,Douglas Haig,Def. Villa Ramallo,Douglas Haig,Simón Fiorito,2T,14
38,3,Douglas Haig,Def. Villa Ramallo,Def. Villa Ramallo,Enzo Luna,2T,15
40,3,Boca Unidos,Def. Vilelas,Boca Unidos,Claudio Alonso,1T,2
40,3,Boca Unidos,Def. Vilelas,Def. Vilelas,Gustavo Carballo,1T,19
40,3,Boca Unidos,Def. Vilelas,Def. Vilelas,Gonzalo Cañete,1T,39
40,3,Boca Unidos,Def. Vilelas,Def. Vilelas,Gonzalo Cañete,2T,18
40,3,Boca Unidos,Def. Vilelas,Boca Unidos,Martín Ojeda,2T,35
40,3,Boca Unidos,Def. Vilelas,Def. Vilelas,Jonatan Canario,2T,37
41,3,Tucumán Central,San Martín (For),Tucumán Central,Benjamín Ruiz Rodríguez,1T,38
41,3,Tucumán Central,San Martín (For),Tucumán Central,Brahian Collante,2T,7
42,3,Sol de América,Sarmiento (LB),Sol de América,José Andrés Cabañas,2T,43
44,3,Costa Brava,Juv. Unida (SL),Juv. Unida (SL),Lautaro Lucero,1T,5
44,3,Costa Brava,Juv. Unida (SL),Costa Brava,Tomás Garro,1T,24
45,3,Dvo. Rincón,Argentino MM,Dvo. Rincón,Cristian Estigarribia,1T,11
45,3,Dvo. Rincón,Argentino MM,Dvo. Rincón,Facundo Miguel,2T,41
46,3,Huracán (LH),Cipolletti,Cipolletti,Nicolás Peralta,1T,41
46,3,Huracán (LH),Cipolletti,Huracán (LH),Facundo Romero,2T,1
47,3,San Martín (Mdza),Atenas (RC),San Martín (Mdza),Agustín Ferro,2T,29
49,3,Círculo Dep.,Germinal,Círculo Dep.,Quimey Marín,1T,19
49,3,Círculo Dep.,Germinal,Círculo Dep.,Imanol Iriberri (p),1T,40
49,3,Círculo Dep.,Germinal,Germinal,Rodrigo Ríos,2T,35
50,3,Gmo. Brown,Olimpo,Olimpo,Braian Guille,1T,25
50,3,Gmo. Brown,Olimpo,Olimpo,Enzo Coacci,1T,33
52,4,Douglas Haig,El Linqueño,Douglas Haig,Guillermo Pereira,2T,24
53,4,Def. Villa Ramallo,Sp. Belgrano,Sp. Belgrano,Emmanuel Mercado,2T,37
53,4,Def. Villa Ramallo,Sp. Belgrano,Def. Villa Ramallo,Nahuel Marnini,2T,45
54,4,Gimn. Concepción,Independiente (Chi),Independiente (Chi),Leonel Retamozo,1T,27
55,4,Gimn. Chivilcoy,Sp. Las Parejas,Gimn. Chivilcoy,Marcos Salvaggio,2T,12
56,4,9 de Julio (R),Escobar FC,9 de Julio (R),Laureano Troncoso,2T,2
56,4,9 de Julio (R),Escobar FC,9 de Julio (R),Nicolás Del Sole (p),2T,10
56,4,9 de Julio (R),Escobar FC,Escobar FC,Martín Sosa,2T,29
56,4,9 de Julio (R),Escobar FC,9 de Julio (R),Facundo García,2T,34
56,4,9 de Julio (R),Escobar FC,9 de Julio (R),Tomás Bonilla,2T,47
57,4,San Martín (For),Boca Unidos,San Martín (For),Lautaro Ceratto,1T,24
57,4,San Martín (For),Boca Unidos,Boca Unidos,Martín Ojeda (p),2T,50
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
62,4,Cipolletti,Costa Brava,Costa Brava,Jerónimo Gutiérrez,1T,4
62,4,Cipolletti,Costa Brava,Cipolletti,Federico Acevedo,1T,17
65,4,Olimpo,Sol de Mayo,Olimpo,Cristian Amarilla,1T,23
67,4,Santamarina,Círculo Dep.,Santamarina,Mateo Ijurco,1T,20
67,4,Santamarina,Círculo Dep.,Santamarina,Diego Sosa (p),1T,42
67,4,Santamarina,Círculo Dep.,Santamarina,Diego Sosa (p),2T,2
67,4,Santamarina,Círculo Dep.,Santamarina,Nicolás Franco,2T,33
68,4,Germinal,Villa Mitre,Germinal,Thomas Oliveri,2T,18
