TORNEO FEDERAL A 2026 — Carga de Resultados,,,,,,,,,,,,,
N° Partido,Fecha,Fase,Día,Zona,Local,GF,GC,Visitante,Resultado,PTS Local,PTS Visit.,Árbitro,Penales
54,4,1F-RR2,11/04/2026,1,Gimn. Concepción,0,1,Independiente (Chi),V,0,3,César Ceballo,
55,4,1F-RR2,12/04/2026,1,Gimn. Chivilcoy,1,0,Sp. Las Parejas,L,3,0,Marcos Liuzzi,
56,4,1F-RR2,12/04/2026,1,9 de Julio (R),4,1,Escobar FC,L,3,0,Agustín Vegetti,
57,4,1F-RR2,12/04/2026,2,San Martín (For),1,1,Boca Unidos,E,1,1,Leandro Sosa Abrile,
58,4,1F-RR2,13/04/2026,2,Def. Vilelas,,,Sarmiento (R),,,,,
59,4,1F-RR2,11/04/2026,2,Bartolomé Mitre,0,0,Sol de América,E,1,1,Rodrigo Rivero,
60,4,1F-RR2,12/04/2026,2,Sarmiento (LB),0,0,Juv. Antoniana,E,1,1,Jorge Etem,
61,4,1F-RR2,12/04/2026,3,Atenas (RC),0,0,Huracán (LH),E,1,1,Juan Ignacio Nebbietti,
62,4,1F-RR2,12/04/2026,3,Cipolletti,1,1,Costa Brava,E,1,1,Jonathan Correa,
63,4,1F-RR2,12/04/2026,3,Juv. Unida (SL),0,0,Dvo. Rincón,E,1,1,Maximiliano Silcan Jerez,
64,4,1F-RR2,12/04/2026,3,Argentino MM,0,0,FADEP,E,1,1,Lautaro Castañola,
65,4,1F-RR2,12/04/2026,4,Olimpo,1,0,Sol de Mayo,L,3,0,Diego Novelli,
66,4,1F-RR2,11/04/2026,4,Alvarado,0,0,Kimberley,E,1,1,Fernando Rekers,
67,4,1F-RR2,11/04/2026,4,Santamarina,4,0,Círculo Dep.,L,3,0,José Manuel Díaz,
68,4,1F-RR2,12/04/2026,4,Germinal,1,0,Villa Mitre,L,3,0,Ulises Jerónimo,
69,5,1F-RR2,,1,El Linqueño,,,9 de Julio (R),,,,,
70,5,1F-RR2,,1,Escobar FC,,,Gimn. Chivilcoy,,,,,
71,5,1F-RR2,,1,Sp. Las Parejas,,,Gimn. Concepción,,,,,
72,5,1F-RR2,,1,Independiente (Chi),,,Def. Villa Ramallo,,,,,
73,5,1F-RR2,,1,Sp. Belgrano,,,Douglas Haig,,,,,
74,5,1F-RR2,,2,Juv. Antoniana,,,Bartolomé Mitre,,,,,
75,5,1F-RR2,,2,Sol de América,,,Def. Vilelas,,,,,
76,5,1F-RR2,,2,Sarmiento (R),,,San Martín (For),,,,,
77,5,1F-RR2,,2,Boca Unidos,,,Tucumán Central,,,,,
78,5,1F-RR2,,3,FADEP,,,Juv. Unida (SL),,,,,
79,5,1F-RR2,,3,Dvo. Rincón,,,Cipolletti,,,,,
80,5,1F-RR2,,3,Costa Brava,,,Atenas (RC),,,,,
81,5,1F-RR2,,3,Huracán (LH),,,San Martín (Mdza),,,,,
82,5,1F-RR2,,4,Villa Mitre,,,Santamarina,,,,,
83,5,1F-RR2,,4,Círculo Dep.,,,Alvarado,,,,,
84,5,1F-RR2,,4,Kimberley,,,Olimpo,,,,,
85,5,1F-RR2,,4,Sol de Mayo,,,Gmo. Brown,,,,,
86,6,1F-RR2,,1,Sp. Belgrano,,,El Linqueño,,,,,
87,6,1F-RR2,,1,Douglas Haig,,,Independiente (Chi),,,,,
88,6,1F-RR2,,1,Def. Villa Ramallo,,,Sp. Las Parejas,,,,,
89,6,1F-RR2,,1,Gimn. Concepción,,,Escobar FC,,,,,
90,6,1F-RR2,,1,Gimn. Chivilcoy,,,9 de Julio (R),,,,,
91,6,1F-RR2,,2,Tucumán Central,,,Sarmiento (R),,,,,
92,6,1F-RR2,,2,San Martín (For),,,Sol de América,,,,,
93,6,1F-RR2,,2,Def. Vilelas,,,Juv. Antoniana,,,,,
94,6,1F-RR2,,2,Bartolomé Mitre,,,Sarmiento (LB),,,,,
95,6,1F-RR2,,3,San Martín (Mdza),,,Costa Brava,,,,,
96,6,1F-RR2,,3,Atenas (RC),,,Dvo. Rincón,,,,,
97,6,1F-RR2,,3,Cipolletti,,,FADEP,,,,,
98,6,1F-RR2,,3,Juv. Unida (SL),,,Argentino MM,,,,,
99,6,1F-RR2,,4,Gmo. Brown,,,Kimberley,,,,,
100,6,1F-RR2,,4,Olimpo,,,Círculo Dep.,,,,,
101,6,1F-RR2,,4,Alvarado,,,Villa Mitre,,,,,
102,6,1F-RR2,,4,Santamarina,,,Germinal,,,,,
103,7,1F-RR2,,1,El Linqueño,,,Gimn. Chivilcoy,,,,,
104,7,1F-RR2,,1,9 de Julio (R),,,Gimn. Concepción,,,,,
105,7,1F-RR2,,1,Escobar FC,,,Def. Villa Ramallo,,,,,
106,7,1F-RR2,,1,Sp. Las Parejas,,,Douglas Haig,,,,,
107,7,1F-RR2,,1,Independiente (Chi),,,Sp. Belgrano,,,,,
108,7,1F-RR2,,2,Sarmiento (LB),,,Def. Vilelas,,,,,
109,7,1F-RR2,,2,Juv. Antoniana,,,San Martín (For),,,,,
110,7,1F-RR2,,2,Sol de América,,,Tucumán Central,,,,,
111,7,1F-RR2,,2,Sarmiento (R),,,Boca Unidos,,,,,
112,7,1F-RR2,,3,Argentino MM,,,Cipolletti,,,,,
113,7,1F-RR2,,3,FADEP,,,Atenas (RC),,,,,
114,7,1F-RR2,,3,Dvo. Rincón,,,San Martín (Mdza),,,,,
115,7,1F-RR2,,3,Costa Brava,,,Huracán (LH),,,,,
116,7,1F-RR2,,4,Germinal,,,Alvarado,,,,,
117,7,1F-RR2,,4,Villa Mitre,,,Olimpo,,,,,
118,7,1F-RR2,,4,Círculo Dep.,,,Gmo. Brown,,,,,
119,7,1F-RR2,,4,Kimberley,,,Sol de Mayo,,,,,
120,8,1F-RR2,,1,Independiente (Chi),,,El Linqueño,,,,,
121,8,1F-RR2,,1,Sp. Belgrano,,,Sp. Las Parejas,,,,,
122,8,1F-RR2,,1,Douglas Haig,,,Escobar FC,,,,,
123,8,1F-RR2,,1,Def. Villa Ramallo,,,9 de Julio (R),,,,,
124,8,1F-RR2,,1,Gimn. Concepción,,,Gimn. Chivilcoy,,,,,
125,8,1F-RR2,,2,Boca Unidos,,,Sol de América,,,,,
126,8,1F-RR2,,2,Tucumán Central,,,Juv. Antoniana,,,,,
127,8,1F-RR2,,2,San Martín (For),,,Sarmiento (LB),,,,,
128,8,1F-RR2,,2,Def. Vilelas,,,Bartolomé Mitre,,,,,
129,8,1F-RR2,,3,Huracán (LH),,,Dvo. Rincón,,,,,
130,8,1F-RR2,,3,San Martín (Mdza),,,FADEP,,,,,
131,8,1F-RR2,,3,Atenas (RC),,,Argentino MM,,,,,
132,8,1F-RR2,,3,Cipolletti,,,Juv. Unida (SL),,,,,
133,8,1F-RR2,,4,Sol de Mayo,,,Círculo Dep.,,,,,
134,8,1F-RR2,,4,Gmo. Brown,,,Villa Mitre,,,,,
135,8,1F-RR2,,4,Olimpo,,,Germinal,,,,,
136,8,1F-RR2,,4,Alvarado,,,Santamarina,,,,,
137,9,1F-RR2,,1,El Linqueño,,,Gimn. Concepción,,,,,
138,9,1F-RR2,,1,Gimn. Chivilcoy,,,Def. Villa Ramallo,,,,,
139,9,1F-RR2,,1,9 de Julio (R),,,Douglas Haig,,,,,
140,9,1F-RR2,,1,Escobar FC,,,Sp. Belgrano,,,,,
141,9,1F-RR2,,1,Sp. Las Parejas,,,Independiente (Chi),,,,,
142,9,1F-RR2,,2,Bartolomé Mitre,,,San Martín (For),,,,,
143,9,1F-RR2,,2,Sarmiento (LB),,,Tucumán Central,,,,,
144,9,1F-RR2,,2,Juv. Antoniana,,,Boca Unidos,,,,,
145,9,1F-RR2,,2,Sol de América,,,Sarmiento (R),,,,,
146,9,1F-RR2,,3,Juv. Unida (SL),,,Atenas (RC),,,,,
147,9,1F-RR2,,3,Argentino MM,,,San Martín (Mdza),,,,,
148,9,1F-RR2,,3,FADEP,,,Huracán (LH),,,,,
149,9,1F-RR2,,3,Dvo. Rincón,,,Costa Brava,,,,,
150,9,1F-RR2,,4,Santamarina,,,Olimpo,,,,,
151,9,1F-RR2,,4,Germinal,,,Gmo. Brown,,,,,
152,9,1F-RR2,,4,Villa Mitre,,,Sol de Mayo,,,,,
153,9,1F-RR2,,4,Círculo Dep.,,,Kimberley,,,,,
154,10,1F-RR2,,1,Escobar FC,,,Independiente (Chi),,,,,
155,10,1F-RR2,,1,Sp. Las Parejas,,,El Linqueño,,,,,
156,10,1F-RR2,,1,9 de Julio (R),,,Sp. Belgrano,,,,,
157,10,1F-RR2,,1,Gimn. Chivilcoy,,,Douglas Haig,,,,,
158,10,1F-RR2,,1,Gimn. Concepción,,,Def. Villa Ramallo,,,,,
159,10,1F-RR2,,2,Juv. Antoniana,,,Sarmiento (R),,,,,
160,10,1F-RR2,,2,Sarmiento (LB),,,Boca Unidos,,,,,
161,10,1F-RR2,,2,Bartolomé Mitre,,,Tucumán Central,,,,,
